level,steps,ep_reward,win,game_name,criteria
0,221,7,False,variant_aliens_3,1
0,567,18,False,variant_aliens_3,1
0,845,10,False,variant_aliens_3,1
0,1075,8,False,variant_aliens_3,1
0,1189,8,False,variant_aliens_3,1
0,1290,0,False,variant_aliens_3,1
0,1627,25,False,variant_aliens_3,1
0,1878,16,False,variant_aliens_3,1
0,2284,24,False,variant_aliens_3,1
0,3030,49,False,variant_aliens_3,1
0,3453,24,False,variant_aliens_3,1
0,3602,8,False,variant_aliens_3,1
0,3898,18,False,variant_aliens_3,1
0,4203,17,False,variant_aliens_3,1
0,4510,23,False,variant_aliens_3,1
0,4890,20,False,variant_aliens_3,1
0,5773,52,True,variant_aliens_3,1
1,6027,21,False,variant_aliens_3,1
1,6295,14,False,variant_aliens_3,1
1,6612,28,False,variant_aliens_3,1
1,6767,11,False,variant_aliens_3,1
1,6949,8,False,variant_aliens_3,1
1,7412,38,False,variant_aliens_3,1
1,7753,19,False,variant_aliens_3,1
1,7934,11,False,variant_aliens_3,1
1,8099,11,False,variant_aliens_3,1
1,8296,11,False,variant_aliens_3,1
1,8675,30,False,variant_aliens_3,1
1,9118,30,False,variant_aliens_3,1
1,9261,10,False,variant_aliens_3,1
1,9480,15,False,variant_aliens_3,1
1,9812,27,False,variant_aliens_3,1
1,10074,14,False,variant_aliens_3,1
1,10391,25,False,variant_aliens_3,1
1,10590,14,False,variant_aliens_3,1
1,10885,16,False,variant_aliens_3,1
1,12234,49,False,variant_aliens_3,1
1,12433,12,False,variant_aliens_3,1
1,12849,23,False,variant_aliens_3,1
1,13158,25,False,variant_aliens_3,1
1,13340,9,False,variant_aliens_3,1
1,13748,29,False,variant_aliens_3,1
1,14317,41,False,variant_aliens_3,1
1,14540,14,False,variant_aliens_3,1
1,14830,19,False,variant_aliens_3,1
1,15230,28,False,variant_aliens_3,1
1,15427,18,False,variant_aliens_3,1
1,15557,2,False,variant_aliens_3,1
1,15862,26,False,variant_aliens_3,1
1,16175,18,False,variant_aliens_3,1
1,16527,31,False,variant_aliens_3,1
1,16619,4,False,variant_aliens_3,1
1,17007,23,False,variant_aliens_3,1
1,17256,21,False,variant_aliens_3,1
1,17525,21,False,variant_aliens_3,1
1,17753,11,False,variant_aliens_3,1
1,17956,9,False,variant_aliens_3,1
1,18148,10,False,variant_aliens_3,1
1,18362,15,False,variant_aliens_3,1
1,18705,27,False,variant_aliens_3,1
1,19055,31,False,variant_aliens_3,1
1,19561,36,False,variant_aliens_3,1
1,19761,15,False,variant_aliens_3,1
1,19966,12,False,variant_aliens_3,1
1,20073,4,False,variant_aliens_3,1
1,20202,5,False,variant_aliens_3,1
1,20611,28,False,variant_aliens_3,1
1,20878,11,False,variant_aliens_3,1
1,21018,8,False,variant_aliens_3,1
1,21239,17,False,variant_aliens_3,1
1,21472,13,False,variant_aliens_3,1
1,21638,9,False,variant_aliens_3,1
1,21858,13,False,variant_aliens_3,1
1,21946,5,False,variant_aliens_3,1
1,22014,3,False,variant_aliens_3,1
1,23144,49,True,variant_aliens_3,1
2,23465,25,False,variant_aliens_3,1
2,23880,21,False,variant_aliens_3,1
2,24072,6,False,variant_aliens_3,1
2,24287,9,False,variant_aliens_3,1
2,24626,16,False,variant_aliens_3,1
2,24871,7,False,variant_aliens_3,1
2,26446,44,False,variant_aliens_3,1
2,26874,31,False,variant_aliens_3,1
2,27310,29,False,variant_aliens_3,1
2,27643,18,False,variant_aliens_3,1
2,27937,16,False,variant_aliens_3,1
2,28421,31,False,variant_aliens_3,1
2,28516,6,False,variant_aliens_3,1
2,28828,23,False,variant_aliens_3,1
2,29217,23,False,variant_aliens_3,1
2,29478,14,False,variant_aliens_3,1
2,29673,13,False,variant_aliens_3,1
2,30125,41,False,variant_aliens_3,1
2,30413,14,False,variant_aliens_3,1
2,30606,10,False,variant_aliens_3,1
2,30883,14,False,variant_aliens_3,1
2,31205,13,False,variant_aliens_3,1
2,32181,49,True,variant_aliens_3,1
3,32270,-1,False,variant_aliens_3,1
3,32466,7,False,variant_aliens_3,1
3,33484,39,True,variant_aliens_3,1
4,34398,45,True,variant_aliens_3,1
